anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
2000,6,Lesiones culposas en Accidentes Viales,54429,61882,36408,17283,8191,148.2697,168.57237,202.42419,92.306664
2000,7,Lesiones culposas por otros hechos,11024,11410,4286,2557,4567,30.030409,31.081909,23.829657,13.656666
2000,8,Otros delitos contra las personas,21232,22033,10689,5274,6070,57.837955,60.019955,59.429585,28.167873
2000,9,Delitos contra el honor,372,383,98,231,54,1.0133629,1.0433279,.54486847,1.2337464
2001,1,Homicidios dolosos,3053,3143,2529,399,215,8.2166653,8.4588852,13.89465,2.1049914
2001,10,Abusos sexuales con acceso carnal (violaciones),3289,3377,281,2449,647,8.8518209,9.0886593,1.5438501,12.920111
2001,11,Otros delitos contra la integridad sexual,5803,6002,674,4217,1111,15.617853,16.153431,3.7030425,22.247492
2001,12,Delitos contra el estado civil,99,,,,,.26644278,,,
2001,13,Amenazas,108340,,,,,291.5799,,,
2001,14,Otros delitos contra la libertad,13729,13729,0,0,13729,36.949425,36.949425,0,0
2001,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),345725,,,,,930.46393,,,
2001,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),19898,,,,,53.552307,,,
2001,17,Robos agravados por el resultado de lesiones y/o muertes ,16029,,,,,43.139507,,,
2001,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2082,,,,,5.6033726,,,
2001,19,Hurtos,304122,,,,,818.49609,,,
2001,2,Homicidios dolosos en grado de tentativa,888,985,710,154,121,2.3899109,2.6509712,3.9008312,.81245285
2001,20,Tentativas de hurto,10594,,,,,28.51207,,,
2001,21,Otros delitos contra la propiedad,84334,,,,,226.97157,,,
2001,22,Delitos contra la seguridad pública,5736,,,,,15.437533,,,
2001,23,Delitos contra el orden público,4734,,,,,12.740809,,,
2001,24,Delitos contra la seguridad de la nación,34,,,,,.091505602,,,
2001,25,Delitos contra los poderes públicos y el orden constitucional,110,,,,,.29604754,,,
2001,26,Delitos contra la administración pública,11662,,,,,31.386421,,,
2001,27,Delitos contra la fe pública,5387,,,,,14.498256,,,
2001,28,Ley 23.737 (estupefacientes),15364,,,,,41.349766,,,
2001,29,Otros delitos previstos en leyes especiales,17956,,,,,48.325722,,,
2001,3,Muertes en accidentes viales,3797,4339,2980,963,396,10.219023,11.67773,16.372503,5.0804682
2001,30,Contravenciones,202813,,,,,545.83899,,,
2001,31,Suicidios (consumados),3167,3167,0,0,3167,9.3887501,9.3887501,0,0
2001,4,Homicidios culposos por otros hechos,625,678,437,158,83,1.6820883,1.8247293,2.4009342,.83355552
2001,5,Lesiones dolosas,117745,124273,61686,44408,18179,316.89197,334.46106,338.9108,234.28186
2001,6,Lesiones culposas en Accidentes Viales,58530,68583,40014,18362,10207,157.5242,184.58026,219.84206,96.871811
2001,7,Lesiones culposas por otros hechos,8907,9287,3837,2142,3308,23.971777,24.994486,21.080971,11.300481
2001,8,Otros delitos contra las personas,17979,18965,10374,5437,3154,48.387623,51.041286,56.99609,28.683805
2001,9,Delitos contra el honor,379,408,118,250,40,1.0200183,1.0980673,.64830714,1.3189169
2002,1,Homicidios dolosos,3459,3571,2903,402,266,9.2133732,9.5116959,15.788522,2.0985076
2002,10,Abusos sexuales con acceso carnal (violaciones),3037,3098,250,2161,687,8.0893364,8.2518158,1.3596729,11.280784
2002,11,Otros delitos contra la integridad sexual,5773,5997,704,4087,1206,15.37693,15.973576,3.8288388,21.334827
2002,12,Delitos contra el estado civil,219,,,,,.58332717,,,
2002,13,Amenazas,114247,,,,,304.30768,,,
2002,14,Otros delitos contra la libertad,13921,13921,0,0,13921,37.079899,37.079899,0,0
2002,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),423478,,,,,1127.9736,,,
2002,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),25500,,,,,67.921661,,,
2002,17,Robos agravados por el resultado de lesiones y/o muertes ,17906,,,,,47.694321,,,
2002,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,3015,,,,,8.0307369,,,
2002,19,Hurtos,372905,,,,,993.2677,,,
2002,2,Homicidios dolosos en grado de tentativa,862,922,713,139,70,2.2960184,2.4558342,3.8777871,.7256034
2002,20,Tentativas de hurto,13813,,,,,36.792229,,,
2002,21,Otros delitos contra la propiedad,80247,,,,,213.74547,,,
2002,22,Delitos contra la seguridad pública,5199,,,,,13.848027,,,
2002,23,Delitos contra el orden público,1241,,,,,3.3055208,,,
2002,24,Delitos contra la seguridad de la nación,59,,,,,.15715207,,,
2002,25,Delitos contra los poderes públicos y el orden constitucional,159,,,,,.42351151,,,
2002,26,Delitos contra la administración pública,12330,,,,,32.842121,,,
2002,27,Delitos contra la fe pública,5495,,,,,14.636452,,,
2002,28,Ley 23.737 (estupefacientes),15508,,,,,41.307022,,,
2002,29,Otros delitos previstos en leyes especiales,23139,,,,,61.632912,,,
2002,3,Muertes en accidentes viales,3178,3550,2461,698,391,8.4649029,9.45576,13.384621,3.6436775
2002,30,Contravenciones,118238,,,,,314.93808,,,
2002,31,Suicidios (consumados),2966,2966,0,0,2966,8.6973391,8.6973391,0,0
2002,4,Homicidios culposos por otros hechos,589,621,439,122,60,1.5688571,1.6540922,2.3875856,.63686049
2002,5,Lesiones dolosas,125267,130786,63066,46301,21419,333.66049,348.36087,342.99652,241.69901
2002,6,Lesiones culposas en Accidentes Viales,53527,61253,33794,16928,10531,142.57422,163.15315,183.79515,88.367004
2002,7,Lesiones culposas por otros hechos,7181,7524,3421,1738,2365,19.127272,20.040884,18.605764,9.0726519
2002,8,Otros delitos contra las personas,16947,17741,9915,5009,2817,45.139935,47.254829,53.924629,26.147821
2002,9,Delitos contra el honor,295,308,80,199,29,.78576034,.82038707,.43509534,1.0388135
2003,1,Homicidios dolosos,2883,2967,2354,349,264,7.5999737,7.8214087,12.673499,1.802673
2003,10,Abusos sexuales con acceso carnal (violaciones),3451,3521,297,2407,817,9.0972977,9.281827,1.5989928,12.432762
2003,11,Otros delitos contra la integridad sexual,6484,6698,752,4711,1235,17.092691,17.656824,4.0486283,24.333504
2003,12,Delitos contra el estado civil,196,,,,,.51668221,,,
2003,13,Amenazas,117234,,,,,309.04449,,,
2003,14,Otros delitos contra la libertad,13267,13267,0,0,13267,34.973587,34.973587,0,0
2003,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),393547,,,,,1037.4425,,,
2003,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21547,,,,,56.800774,,,
2003,17,Robos agravados por el resultado de lesiones y/o muertes ,16552,,,,,43.633286,,,
2003,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2216,,,,,5.8416724,,,
2003,19,Hurtos,334916,,,,,882.88336,,,
2003,2,Homicidios dolosos en grado de tentativa,928,974,770,115,89,2.446332,2.5675943,4.1455369,.59400398
2003,20,Tentativas de hurto,11070,,,,,29.181999,,,
2003,21,Otros delitos contra la propiedad,76862,,,,,202.61852,,,
2003,22,Delitos contra la seguridad pública,4934,,,,,13.006683,,,
2003,23,Delitos contra el orden público,987,,,,,2.6018639,,,
2003,24,Delitos contra la seguridad de la nación,56,,,,,.14762349,,,
2003,25,Delitos contra los poderes públicos y el orden constitucional,135,,,,,.35587806,,,
2003,26,Delitos contra la administración pública,13127,,,,,34.604527,,,
2003,27,Delitos contra la fe pública,5000,,,,,13.180669,,,
2003,28,Ley 23.737 (estupefacientes),15378,,,,,40.538464,,,
2003,29,Otros delitos previstos en leyes especiales,22004,,,,,58.005486,,,
2003,3,Muertes en accidentes viales,3125,3531,2432,771,328,8.2379179,9.3081884,13.093436,3.9824095
2003,30,Contravenciones,130115,,,,,343.00055,,,
2003,31,Suicidios (consumados),2860,2860,0,0,2860,8.2953911,8.2953911,0,0
2003,4,Homicidios culposos por otros hechos,665,688,419,217,52,1.7530289,1.81366,2.2558181,1.1208597
2003,5,Lesiones dolosas,131360,137578,66664,48817,22097,346.28253,362.67401,358.90659,252.15211
2003,6,Lesiones culposas en Accidentes Viales,56678,64881,36250,18194,10437,149.41078,171.03499,195.16327,93.976601
2003,7,Lesiones culposas por otros hechos,7356,7664,3251,1868,2545,19.391399,20.203329,17.502781,9.6486912
2003,8,Otros delitos contra las personas,16509,17239,9585,4830,2824,43.519932,45.444309,51.603859,24.948168
2003,9,Delitos contra el honor,328,332,71,211,50,.86465186,.8751964,.38225082,1.0898682
2004,1,Homicidios dolosos,2264,2341,1780,350,211,5.9066768,6.1075664,9.4864931,1.7888199
2004,10,Abusos sexuales con acceso carnal (violaciones),3452,3529,334,2515,680,9.0061159,9.2070055,1.7800499,12.853949
2004,11,Otros delitos contra la integridad sexual,6921,7152,800,5001,1351,18.056585,18.659254,4.2635927,25.559681
2004,12,Delitos contra el estado civil,156,,,,,.40699714,,,
2004,13,Amenazas,130448,,,,,340.3331,,,
2004,14,Otros delitos contra la libertad,13238,13238,0,0,13238,34.537361,34.537361,0,0
2004,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),352554,,,,,919.79791,,,
2004,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21468,,,,,56.009068,,,
2004,17,Robos agravados por el resultado de lesiones y/o muertes ,11157,,,,,29.108124,,,
2004,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1737,,,,,4.5317569,,,
2004,19,Hurtos,316886,,,,,826.74164,,,
2004,2,Homicidios dolosos en grado de tentativa,876,931,644,132,155,2.2854455,2.4289382,3.4321921,.67464066
2004,20,Tentativas de hurto,11332,,,,,29.56469,,,
2004,21,Otros delitos contra la propiedad,77755,,,,,202.85938,,,
2004,22,Delitos contra la seguridad pública,4833,,,,,12.609085,,,
2004,23,Delitos contra el orden público,1350,,,,,3.5220907,,,
2004,24,Delitos contra la seguridad de la nación,61,,,,,.15914632,,,
2004,25,Delitos contra los poderes públicos y el orden constitucional,140,,,,,.36525384,,,
2004,26,Delitos contra la administración pública,13531,,,,,35.301785,,,
2004,27,Delitos contra la fe pública,4989,,,,,13.016082,,,
2004,28,Ley 23.737 (estupefacientes),18341,,,,,47.850864,,,
2004,29,Otros delitos previstos en leyes especiales,22522,,,,,58.758907,,,
2004,3,Muertes en accidentes viales,3506,3982,2667,874,441,9.1470003,10.388863,14.213752,4.466939
2004,30,Contravenciones,128199,,,,,334.46555,,,
